"","trialnum","subject","numObjects","speed","direction","condition","leftOrRight","offsetXYring0","orderCorrect","trialDurTotal","numTargets","whichIsTarget0","ringToQuery","Direction0","respAdj0","rev0_0","rev0_1","rev0_2","rev0_3","rev0_4","rev0_5","rev0_6","rev0_7","rev0_8","timingBlips","exp","file","Position","Exclusion","basicShape","whichIsTarget1","Direction1","respAdj1","rev1_0","rev1_1","rev1_2","rev1_3","rev1_4","rev1_5","rev1_6","rev1_7","rev1_8","correct","chanceRate"
"12",11,"JQ",2,1.65,-1,0,1,"[0, 0]",0,4.49621639034,1,0,0,1,1,2.3187,2.8519,4.2534,5.4209,-999,-999,-999,-999,-999,1,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"13",12,"JQ",2,1.65,-1,2,1,"[10, 0]",3,4.82161510964,1,0,0,-1,0,1.6514,2.5777,3.805,4.6823,5.9491,-999,-999,-999,-999,3,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"14",13,"JQ",2,1.65,1,0,0,"[0, 0]",3,4.47463000368,1,0,0,1,0,2.0198,3.4915,4.8,-999,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"15",14,"JQ",2,2.1,1,2,1,"[10, 0]",3,4.95973777627,1,1,0,1,0,2.4718,3.5971,4.9703,5.7675,-999,-999,-999,-999,-999,3,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"16",15,"JQ",2,2.2,1,0,0,"[0, 0]",0,4.96274620096,1,0,0,1,-1,1.9871,3.0465,3.8719,5.0149,6.1309,-999,-999,-999,-999,4,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"17",16,"JQ",2,2.2,-1,1,0,"[-5, 0]",3,4.32605965561,1,0,0,-1,0,2.0759,3.4298,4.2844,5.1624,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"18",17,"JQ",2,1.65,1,2,0,"[-10, 0]",3,5.0935398089,1,0,0,1,0,2.2109,3.2751,4.0925,4.899,5.6943,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"19",18,"JQ",2,1.65,-1,0,0,"[0, 0]",3,4.81826092737,1,0,0,1,0,2.4441,3.0646,4.2339,4.8422,5.6504,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"20",19,"JQ",2,2.2,-1,2,0,"[-10, 0]",0,4.9817477283,1,0,0,-1,-1,1.9988,3.2131,4.4083,5.6508,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"21",20,"JQ",2,1.65,1,1,1,"[5, 0]",3,4.53789846498,1,0,0,1,0,1.9877,2.6907,3.9008,4.8009,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"22",21,"JQ",2,1.65,1,0,1,"[0, 0]",3,4.62486530595,1,0,0,1,0,2.0353,2.8862,3.905,4.4683,5.1038,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"23",22,"JQ",2,2.2,-1,2,1,"[10, 0]",0,4.88183599928,1,0,0,1,1,2.2888,3.0698,4.4434,5.0928,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"24",23,"JQ",2,2.2,1,0,1,"[0, 0]",3,4.63153556444,1,0,0,-1,0,1.9407,2.6846,3.6411,4.835,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"25",24,"JQ",2,1.65,1,1,0,"[-5, 0]",3,4.49585419269,1,0,0,-1,0,2.3003,3.2908,4.0911,5.3137,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"26",25,"JQ",2,2.1,1,1,0,"[-5, 0]",3,4.99041786915,1,1,0,-1,0,1.77,2.7162,4.034,4.8869,6.1588,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"27",26,"JQ",2,2.2,1,2,1,"[10, 0]",0,4.53607100318,1,0,0,-1,1,1.586,2.5153,3.7438,4.9239,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"28",27,"JQ",2,2.1,1,0,0,"[0, 0]",3,5.02848107313,1,1,0,1,0,2.4577,3.3714,3.8787,5.2269,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"29",28,"JQ",2,2.2,-1,0,0,"[0, 0]",3,4.32382014411,1,0,0,1,0,1.8725,2.3923,3.2138,4.4072,5.2965,-999,-999,-999,-999,1,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"30",29,"JQ",2,1.65,-1,1,0,"[-5, 0]",3,4.81922979821,1,0,0,1,0,1.9104,3.0412,3.7025,4.4335,5.8064,-999,-999,-999,-999,1,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"31",30,"JQ",2,2.1,-1,0,1,"[0, 0]",3,5.03764978969,1,1,0,1,0,1.5243,2.4827,3.9809,5.2188,-999,-999,-999,-999,-999,1,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"32",31,"JQ",2,1.65,-1,1,1,"[5, 0]",3,4.50248725204,1,0,0,1,0,2.2295,2.7505,3.9529,4.6721,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"33",32,"JQ",2,2.1,1,1,1,"[5, 0]",3,4.40299558209,1,1,0,1,0,1.7136,2.9346,4.0311,4.7019,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"34",33,"JQ",2,2.1,-1,0,0,"[0, 0]",0,4.41935341086,1,1,0,1,-1,1.7211,2.3925,3.7917,4.9145,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"35",34,"JQ",2,2.1,-1,2,1,"[10, 0]",0,4.95424424816,1,1,0,-1,-1,2.3616,3.1336,4.0688,4.6476,5.2206,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"36",35,"JQ",2,2.2,-1,1,1,"[5, 0]",0,4.71948439898,1,0,0,-1,1,1.5042,2.2349,2.7569,3.6338,5.016,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"37",36,"JQ",2,1.65,1,2,1,"[10, 0]",3,4.44478652201,1,0,0,1,0,2.1387,2.772,3.29,4.6567,-999,-999,-999,-999,-999,1,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"38",37,"JQ",2,2.1,-1,1,1,"[5, 0]",3,4.71782182432,1,1,0,-1,0,2.277,3.026,3.7783,4.385,5.4398,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"39",38,"JQ",2,2.1,-1,0,1,"[0, 0]",3,4.9226212915,1,1,0,1,0,2.1781,3.257,4.6482,5.7032,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"40",39,"JQ",2,2.2,1,0,1,"[0, 0]",0,4.64596579822,1,0,0,-1,1,1.5476,2.5165,3.8881,4.8478,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"41",40,"JQ",2,2.1,1,1,0,"[-5, 0]",0,4.80653068272,1,1,0,1,-1,2.0418,3.472,4.8511,5.7164,-999,-999,-999,-999,-999,1,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"42",41,"JQ",2,2.1,1,0,1,"[0, 0]",3,4.53221165603,1,1,0,-1,0,1.8173,2.5688,3.377,4.46,5.5364,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"43",42,"JQ",2,2.2,1,2,1,"[10, 0]",3,4.81650147029,1,0,0,1,0,1.8676,3.32,4.2078,4.9962,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"44",43,"JQ",2,2.2,1,1,0,"[-5, 0]",0,4.38577418753,1,0,0,1,-1,2.3839,3.0327,4.0726,4.7015,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"45",44,"JQ",2,1.65,-1,1,0,"[-5, 0]",3,4.94741322884,1,0,0,1,0,2.2128,3.5146,4.6396,5.2602,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"46",45,"JQ",2,1.65,1,0,1,"[0, 0]",3,4.95718061352,1,0,0,-1,0,2.1423,3.3599,4.2982,5.331,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"47",46,"JQ",2,1.65,1,1,0,"[-5, 0]",3,5.09338977918,1,0,0,-1,0,2.0427,2.5669,3.9598,5.0437,6.4503,-999,-999,-999,-999,1,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"48",47,"JQ",2,2.1,1,2,1,"[10, 0]",3,4.61312175369,1,1,0,1,0,2.1101,3.2568,3.8351,4.4218,5.1037,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"49",48,"JQ",2,2.2,1,1,1,"[5, 0]",3,4.85764426959,1,0,0,1,0,1.6943,2.4862,3.216,4.3138,4.8483,5.5417,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"50",49,"JQ",2,1.65,1,2,0,"[-10, 0]",3,4.7666622364,1,0,0,1,0,2.3235,3.3339,3.9882,5.4142,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"51",50,"JQ",2,2.1,1,0,0,"[0, 0]",3,4.8229199227,1,1,0,1,0,1.7168,2.33,3.7513,4.3274,4.8314,5.644,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"52",51,"JQ",2,2.2,-1,1,0,"[-5, 0]",3,4.60448555967,1,0,0,1,0,2.2097,2.8262,4.3013,5.7246,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"53",52,"JQ",2,2.2,-1,1,1,"[5, 0]",3,4.86629192439,1,0,0,1,0,1.6564,2.1619,3.4613,4.4911,5.4783,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"54",53,"JQ",2,1.65,-1,2,0,"[-10, 0]",3,4.81555121423,1,0,0,1,0,2.0326,2.7084,3.4354,4.1292,4.9826,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"55",54,"JQ",2,2.1,-1,2,0,"[-10, 0]",3,4.8444608446,1,1,0,-1,0,2.0919,2.7809,3.9585,5.0334,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"56",55,"JQ",2,2.1,-1,1,0,"[-5, 0]",0,4.5633789258,1,1,0,-1,-1,1.5318,2.2106,3.4337,4.049,5.3104,-999,-999,-999,-999,1,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"57",56,"JQ",2,2.1,1,1,1,"[5, 0]",0,4.65826627869,1,1,0,-1,1,1.7289,2.5686,3.3371,4.3546,5.378,-999,-999,-999,-999,1,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"58",57,"JQ",2,1.65,-1,0,1,"[0, 0]",3,4.72925717018,1,0,0,1,0,2.4072,3.4599,4.3616,5.3791,-999,-999,-999,-999,-999,1,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"59",58,"JQ",2,2.2,-1,2,1,"[10, 0]",3,4.83131164669,1,0,0,-1,0,1.6263,2.5409,3.699,4.6167,5.5366,-999,-999,-999,-999,1,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"60",59,"JQ",2,2.2,1,2,0,"[-10, 0]",3,4.7648122106,1,0,0,-1,0,2.1501,2.9679,4.1593,5.4075,-999,-999,-999,-999,-999,1,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"61",60,"JQ",2,1.65,1,0,0,"[0, 0]",3,4.86247866784,1,0,0,1,0,1.5249,2.4001,3.3951,4.2383,4.7852,5.5168,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"62",61,"JQ",2,1.65,-1,0,0,"[0, 0]",3,4.60155842967,1,0,0,-1,0,1.5956,2.3576,3.2584,4.4919,5.5152,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"63",62,"JQ",2,2.1,-1,0,0,"[0, 0]",3,4.56982029029,1,1,0,1,0,1.8295,2.9492,3.8649,5.035,-999,-999,-999,-999,-999,1,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"64",63,"JQ",2,1.65,-1,2,1,"[10, 0]",3,4.42366754919,1,0,0,1,0,1.9446,3.0556,3.5848,4.6539,-999,-999,-999,-999,-999,1,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"65",64,"JQ",2,2.2,-1,0,0,"[0, 0]",3,4.31928858239,1,0,0,-1,0,1.7442,2.3151,2.842,3.9946,4.5591,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"66",65,"JQ",2,2.2,-1,2,0,"[-10, 0]",0,4.38598286735,1,0,0,-1,-1,1.8975,3.0836,3.81,5.0063,-999,-999,-999,-999,-999,1,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"67",66,"JQ",2,1.65,1,1,1,"[5, 0]",0,4.40592351962,1,0,0,1,1,2.0908,3.2888,4.7213,-999,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"68",67,"JQ",2,1.65,-1,1,1,"[5, 0]",3,4.63864138681,1,0,0,-1,0,1.7166,2.485,3.0761,3.9765,4.5635,6.0208,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"69",68,"JQ",2,2.1,-1,2,1,"[10, 0]",3,4.77832590527,1,1,0,1,0,2.4679,3.8944,5.3781,-999,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"70",69,"JQ",2,2.2,-1,0,1,"[0, 0]",0,4.72507548184,1,0,0,1,-1,1.742,2.5876,3.173,4.0233,4.9865,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"71",70,"JQ",2,2.1,1,2,0,"[-10, 0]",0,4.41789522598,1,1,0,-1,1,2.1516,3.1838,4.5648,-999,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"72",71,"JQ",2,2.2,1,0,0,"[0, 0]",3,5.0104250273,1,0,0,1,0,1.9633,2.8687,4.2874,5.5402,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"73",72,"JQ",2,2.2,1,0,0,"[0, 0]",0,4.92646800348,1,0,0,1,1,2.2134,3.6404,4.9668,5.9218,-999,-999,-999,-999,-999,0,"offCenter","AH_02Apr2015_16-49.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"210",1,"JQ",2,1.9,1,1,1,"[5, 0]",3,4.97020129012,1,1,0,-1,0,1.7329,2.7041,3.4261,4.6325,6.0464,-999,-999,-999,-999,1,"offCenter","AH_24Mar2015_17-20.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"310",2,"JQ",2,1.9,-1,0,0,"[0, 0]",0,4.56332874275,1,1,0,1,-1,2.3582,2.9156,4.0176,5.0865,-999,-999,-999,-999,-999,0,"offCenter","AH_24Mar2015_17-20.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"410",3,"JQ",2,1.8,1,0,1,"[0, 0]",3,4.38090004576,1,0,0,-1,0,2.2614,3.3852,3.9863,5.0925,-999,-999,-999,-999,-999,0,"offCenter","AH_24Mar2015_17-20.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"510",4,"JQ",2,1.65,1,2,0,"[-10, 0]",0,4.41342440108,1,1,0,-1,1,2.4841,3.8684,4.6103,-999,-999,-999,-999,-999,-999,0,"offCenter","AH_24Mar2015_17-20.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"610",5,"JQ",2,2,-1,0,0,"[0, 0]",3,4.9766288332,1,0,0,1,0,1.816,3.1683,4.0037,5.4259,-999,-999,-999,-999,-999,0,"offCenter","AH_24Mar2015_17-20.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"74",6,"JQ",2,2,-1,2,0,"[-10, 0]",0,5.08991631481,1,0,0,-1,1,1.5852,2.9981,4.0854,4.9277,6.3984,-999,-999,-999,-999,1,"offCenter","AH_24Mar2015_17-20.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"81",7,"JQ",2,1.65,-1,1,1,"[5, 0]",3,4.78065641887,1,1,0,-1,0,1.7519,2.6928,4.1469,4.9327,-999,-999,-999,-999,-999,0,"offCenter","AH_24Mar2015_17-20.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"91",8,"JQ",2,1.65,1,0,0,"[0, 0]",0,5.04868784091,1,1,0,1,-1,1.8608,3.1311,3.7437,4.7477,5.262,-999,-999,-999,-999,0,"offCenter","AH_24Mar2015_17-20.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
"101",9,"JQ",2,1.65,1,1,0,"[-5, 0]",3,4.92076732484,1,1,0,-1,0,2.2767,3.2589,4.4303,5.5892,-999,-999,-999,-999,-999,0,"offCenter","AH_24Mar2015_17-20.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"111",10,"JQ",2,1.65,1,1,1,"[5, 0]",3,5.05825020385,1,1,0,-1,0,1.8102,2.3577,3.7438,4.2548,5.1597,-999,-999,-999,-999,0,"offCenter","AH_24Mar2015_17-20.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
"121",11,"JQ",2,1.9,-1,1,0,"[-5, 0]",0,4.38932218632,1,1,0,1,-1,2.3187,2.9099,4.1164,4.6505,-999,-999,-999,-999,-999,0,"offCenter","AH_24Mar2015_17-20.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5
